Aydemir,44.0978,27.1691,Bulgaria,BG,Silistra,,6196,6177
Devin,41.7333,24.4000,Bulgaria,BG,Smolyan,minor,6129,6079
Lozen,42.6000,23.4833,Bulgaria,BG,Sofia-Grad,,6014,6014
Varshets,43.1830,23.2830,Bulgaria,BG,Montana,minor,5765,5742
Saedinenie,42.2667,24.5500,Bulgaria,BG,Plovdiv,,5621,5621
Bistritsa,42.5861,23.3600,Bulgaria,BG,Sofia-Grad,,5237,5237
Bozhurishte,42.7625,23.1997,Bulgaria,BG,Sofia,,5225,5225
Suvorovo,43.3333,27.6000,Bulgaria,BG,Varna,,5059,5049
Perushtitsa,42.0500,24.5500,Bulgaria,BG,Plovdiv,,5026,5018
Dolna Banya,42.2833,23.7667,Bulgaria,BG,Sofia,,4716,4687
Vetovo,43.7000,26.2667,Bulgaria,BG,Ruse,,4540,4540
Kazichene,42.6667,23.4667,Bulgaria,BG,Sofia-Grad,,4503,4503
Ignatievo,43.2483,27.7783,Bulgaria,BG,Varna,,4368,4358
Kostandovo,42.0000,24.0167,Bulgaria,BG,Pazardzhik,,4336,4336
Bukovlak,43.4439,24.6156,Bulgaria,BG,Pleven,,4335,4335
Koynare,43.3572,24.1444,Bulgaria,BG,Pleven,,4251,4231
Slavyanovo,43.4667,24.8667,Bulgaria,BG,Pleven,,4137,4105
Kalipetrovo,44.0861,27.2505,Bulgaria,BG,Silistra,,4068,4043
Trud,42.2321,24.7246,Bulgaria,BG,Plovdiv,,4067,4067
Sveti Vlas,42.7167,27.7667,Bulgaria,BG,Burgas,,4055,4055
Sapareva Banya,42.2833,23.2667,Bulgaria,BG,Kyustendil,,3985,3950
Malo Konare,42.1990,24.4312,Bulgaria,BG,Pazardzhik,,3876,3856
Varbitsa,42.9950,26.6731,Bulgaria,BG,Shumen,,3837,3837
Marten,43.9167,26.0833,Bulgaria,BG,Ruse,,3679,3650
Debelets,43.0436,25.6208,Bulgaria,BG,Veliko Tarnovo,,3678,3637
Vladaya,42.6333,23.2000,Bulgaria,BG,Sofia-Grad,,3621,3621
Parvenets,42.0745,24.6630,Bulgaria,BG,Plovdiv,,3584,3584
Sarnitsa,41.7333,24.0333,Bulgaria,BG,Pazardzhik,minor,3523,3511
Rudozem,41.4833,24.8500,Bulgaria,BG,Smolyan,minor,3494,3466
Topolchane,42.6513,26.4278,Bulgaria,BG,Sliven,,3354,3354
Brestovitsa,42.0839,24.5920,Bulgaria,BG,Plovdiv,,3318,3318
Gulyantsi,43.6333,24.7000,Bulgaria,BG,Pleven,minor,3202,3179
Nikolaevo,42.6333,25.8000,Bulgaria,BG,Stara Zagora,,3147,3147
Rogosh,42.1818,24.8646,Bulgaria,BG,Plovdiv,,3126,3126
Kran,42.6669,25.3831,Bulgaria,BG,Stara Zagora,,3121,3074
Banya,42.5500,24.8333,Bulgaria,BG,Plovdiv,,3083,3083
Topoli,43.2183,27.8214,Bulgaria,BG,Varna,,3058,3046
Pancharevo,42.5708,23.4397,Bulgaria,BG,Sofia-Grad,,3042,3042
Kamenar,43.2493,27.8999,Bulgaria,BG,Varna,,3040,3040
Gurkovo,42.6572,25.7961,Bulgaria,BG,Stara Zagora,,3023,3011
Ivaylo,42.2249,24.3304,Bulgaria,BG,Pazardzhik,,3014,3014
Sotirya,42.6909,26.4035,Bulgaria,BG,Sliven,,2942,2942
Kableshkovo,42.6500,27.5667,Bulgaria,BG,Burgas,,2914,2894
Ruen,42.7998,27.2822,Bulgaria,BG,Burgas,,2911,2911
Vetren,42.2667,24.0500,Bulgaria,BG,Pazardzhik,,2888,2888
Dolna Oryahovitsa,43.1564,25.7392,Bulgaria,BG,Veliko Tarnovo,,2709,2696
Buhovo,42.7667,23.5667,Bulgaria,BG,Sofia-Grad,,2675,2644
Kalofer,42.6167,24.9833,Bulgaria,BG,Plovdiv,,2668,2642
Voluyak,42.7727,23.2429,Bulgaria,BG,Sofia-Grad,,2659,2659
Kalekovets,42.2364,24.8238,Bulgaria,BG,Plovdiv,,2651,2641
German,42.6167,23.4167,Bulgaria,BG,Sofia-Grad,,2649,2649
Nikolovo,43.8573,26.0929,Bulgaria,BG,Ruse,,2640,2615
Ravda,42.6434,27.6783,Bulgaria,BG,Burgas,,2615,2615
Glozhene,43.6892,23.8081,Bulgaria,BG,Vratsa,,2612,2612
Novo Selo,42.1043,24.4835,Bulgaria,BG,Plovdiv,,2578,2578
Kurtovo Konare,42.0930,24.4998,Bulgaria,BG,Plovdiv,,2553,2543
Ablanitsa,41.5364,23.9358,Bulgaria,BG,Blagoevgrad,,2553,2553
Skutare,42.1782,24.8417,Bulgaria,BG,Plovdiv,,2524,2524
Sadovo,42.1330,24.9330,Bulgaria,BG,Plovdiv,,2494,2494
Chepintsi,42.7578,23.4256,Bulgaria,BG,Sofia-Grad,,2437,2437
Parvomaytsi,43.1530,25.6521,Bulgaria,BG,Veliko Tarnovo,,2436,2419
